"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DESIGNER";"HEIGHT";"LCSC";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTREV";"PROD_ID";"STANDARD";"VALUE";"VERSION";
"1";"";"CONN_01";"1X01";"J3";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_03";"1X03";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_04";"1X04";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";
"1";"";"CONN_05";"1X05";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_07";"1X07";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MICROBUILDER_MICS-5524";"MICROBUILDER_MICS-5524";"U2";"MiCS-5524 Carbon Monoxide Gas Sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C4, C8, C10, C16";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";"";
"5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C2, C3, C5, C6, C7";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";"";
"1";"1.2M";"1.2MOHM-0603-1/10W-1%";"0603";"R11";"1.2MΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-10055";"";"1.2M";"";
"2";"10";"10OHM-0603-1/10W-5%";"0603";"R3, R4";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09834";"";"10";"";
"1";"10k";"10KOHM-0603-1/10W-1%";"0603";"R7";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";"";
"6";"10uF";"10UF-0603-6.3V-20%";"0603";"C9, C11, C12, C13, C14, C15";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"130";"1.20KOHM-0603-1/10W-1%";"0603";"R10";"1.20kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08413";"";"1.20k";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";"";
"1";"27";"20OHM-0603-1/10W-1%";"0603";"R9";"RES-07862";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07862";"";"20";"";
"1";"30.1k";"30.1KOHM-0603-1/10W-1%";"0603";"R12";"30.1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08595";"";"30.1k";"";
"1";"330";"330OHM-0603-1/10W-1%";"0603";"R14";"330Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00818";"";"330";"";
"2";"4.7";"10OHM-0603-1/10W-1%";"0603";"R5, R6";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12581";"";"10";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R2";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";"";
"1";"47k";"47KOHM-0603-1/10W-1%";"0603";"R13";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"47k";"";
"1";"820";"866OHM-0603-1/10W-1%";"0603";"R8";"866Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09991";"";"866";"";
"1";"AP22802AW5-7K-3.3V";"AP22802AW5-7K-3.3V";"SOT25";"U4";"AP22802 SINGLE CHANNEL POWER DISTRIBUTION LOAD SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-17101";"";"";"";
"1";"BMP581";"BMP581";"BMP581";"U3";"Pressure Sensor 4.35PSI ~ 18.13PSI (30kPa ~ 125kPa) Absolute 10-WFLGA";"";"";"Pressure Sensor 4.35PSI ~ 18.13PSI (30kPa ~ 125kPa) Absolute 10-WFLGA";"";"0.8mm";"";"";"BOSCH";"BMP581";"";"262-BMP581";"https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMP581?qs=Li%252BoUPsLEntPL9tlFmcgXg%3D%3D";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"";"v01";
"4";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"JP1, JP2, JP3, JP4";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED DISABLE";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"SJ4";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"RED";"";
"1";"SCD41-D-R2";"SCD41-D-R2";"SCD41DR2";"IC1";"Air Quality Sensor CO2 Sensor 2.5V/3.3V/5V 20-Pin SMD EP";"SCD41-D-R2";"https://www.arrow.com/en/products/scd41-d-r2/sensirion-ag?region=asia";"Air Quality Sensor CO2 Sensor 2.5V/3.3V/5V 20-Pin SMD EP";"";"6.8mm";"";"";"Sensirion";"SCD41-D-R2";"";"403-SCD41-D-R2";"https://www.mouser.co.uk/ProductDetail/Sensirion/SCD41-D-R2?qs=HBWAp0VN4Ri4o7ei4T3s0g%3D%3D";"";"";"";"";"";
"1";"SGP41-D-R4";"SGP41-D-R4";"XDCR_SGP41-D-R4";"U1";"";"";"";"";"";"";"";"Sensirion";"";"";"0.95 mm";"";"";"1.0";"";"Manufacturer Recommendations";"";"";
"1";"SHT45-AD1B-R2";"SHT45-AD1B-R2";"SHT4X";"SHT45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"STEMMA_I2C_QTRA";"STEMMA_I2C_QTRA";"JST_SH4_RA";"I2C_IN, I2C_OUT";"";"";"";"";"";"";"C145961";"";"";"";"";"";"";"";"";"";"";"";
"4";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"CO, GND, NH3, NO2";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"WS2812B_2020";"WS2812B_2020";"WS2812B_2020";"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
