"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DESIGNER";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"IO_INTERFACE";"I_SUPPLY_TOTAL_MAX";"LCSC";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MASTER_FCLK";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_7_INSIDE_EDGE";"PIN_0_0_15_INSIDE_EDGE";"POPULARITY";"PREFIX";"PRICE";"PROD_ID";"PURCHASE-URL";"RELEASE_DATE";"RESOLUTION_BITS";"SPICEPREFIX";"TUNING_WORD_WIDTH_BITS";"VALUE";"VAULT_GUID";"VAULT_REVISION";"VERSION";
"1";"";"CONN_04";"1X04";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X1";"1X01";"CAL_INT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C6";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"";"0.1uF";"";"";"";
"3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C4, C8, C12";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"0.1uF";"";"";"";
"2";"100k";"100KOHM-0603-1/10W-1%";"0603";"R5, R6";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"";"";"";"100k";"";"";"";
"2";"10k";"10KOHM-0603-1/10W-1%";"0603";"R9, R10";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"";"10k";"";"";"";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C3";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"";"10nF";"";"";"";
"4";"10uF";"10UF-0603-6.3V-20%";"0603";"C2, C5, C9, C13";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"10uF";"";"";"";
"3";"1k";"1KOHM-0603-1/10W-1%";"0603";"R8, R14, R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"";"1k";"";"";"";
"1";"200k";"200KOHM-0603-1/10W-1%";"0603";"R7";"200kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09385";"";"";"";"";"";"200k";"";"";"";
"2";"20k";"20KOHM-0603-1/10W-1%";"0603";"R3, R4";"20kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09383";"";"";"";"";"";"20k";"";"";"";
"1";"270k";"220KOHM-0603-1/10W-1%";"0603";"R11";"220kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08969";"";"";"";"";"";"220k";"";"";"";
"1";"2K";"R-US_R0603";"R0603";"CAL_RES1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R2";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"";"4.7k";"";"";"";
"1";"AD8608ARZ";"AD8608ARZ";"SOIC127P600X175-14N";"IC1";"Precision Amplifiers Low Noise CMOS RRIO Prec Quad";"";"";"";"";"";"";"";"";"";"";"";"Precision Amplifiers Low Noise CMOS RRIO Prec Quad";"";"";"";"";"1.75mm";"";"";"";"";"";"";"Analog Devices";"AD8608ARZ";"";"";"";"584-AD8608ARZ";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/AD8608ARZ?qs=%2FtpEQrCGXCxN7b5tuN73yg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ANALOG_DEVICES_AD5933YRSZANALOG_DEVICES_AD5933YRSZ_0_0";"ANALOG_DEVICES_AD5933YRSZANALOG_DEVICES_AD5933YRSZ_0_0";"ANALOG_DEVICES_AD5933YRSZ_0";"AD5933";"ADI-AD5933-RS-16";"";"19299999";"MO-150-AC";"Manufacturer URL";"www.analog.com";"Package Specification";"http://www.analog.com/static/imported-files/packages/31572257652246RS_16.pdf";"";"";"http://www.analog.com/static/imported-files/data_sheets/AD5933.pdf";"Rev. D";"";"";"Level C";"Level B";"Level A";"";"yes";"vault";"1521848033";"Serial";"15mA";"";"";"";"16.776MHz";"Analog Devices";"";"";"";"";"AD5933YRSZ";"RS-16";"16-Lead Shrink Small Outline Package [SSOP]";"3/17/2005";"clock";"clock";"";"U";"";"";"";"1333437714";"12bit";"";"27bit";"";"12E548FF-7E75-4596-9B3A-06B167E4919E";"0B288880-7FBC-46A2-8187-17CED40A7223";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"v01";
"1";"INA826AID";"INA826AID";"SOIC127P600X175-8N";"IC2";"Texas Instruments INA826AID Instrumentation Amplifier, 150uV Offset 1MHz GBW, CMMR 80dB, 2.7  36 V, 8-Pin SOIC";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments INA826AID Instrumentation Amplifier, 150uV Offset 1MHz GBW, CMMR 80dB, 2.7  36 V, 8-Pin SOIC";"";"";"";"";"1.75mm";"";"";"";"";"";"";"Texas Instruments";"INA826AID";"";"";"";"595-INA826AID";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA826AID?qs=RqytGdBYyUH0CDtkCzl1iw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";"JP1, JP2";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED DISABLE";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"SJ4";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MC74VHC1GT66DTT1";"MC74VHC1GT66DTT1";"TSOP5_1P65X3P15_ONS";"U4";"";"";"";"";"";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MC74VHC1GT66DTT1";"";"";"onsemi";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"";"";"";"RED";"";"";"";
"3";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"EXCITE, MEASURE, SINGLE_PUG";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle Check availability";"In Stock";"";"";"";"";"";"";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj-352x-smt-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"";"";" 3.5 mm, Stereo, Right Angle, Surface Mount (SMT), 3 Conductors, 0~1 Internal Switches, Audio Jack Connector ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CUI Devices";"";"";"";"SJ-3523-SMT-TR";"";"None";"";"";"";"";"";"";"None";"";"https://pricing.snapeda.com/search/part/SJ-3523-SMT-TR/?ref=eda";"";"";"";"";"";"";"";"";
"2";"STEMMA_I2C_QTRA";"STEMMA_I2C_QTRA";"JST_SH4_RA";"I2C_IN, I2C_OUT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C145961";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"TP1";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
